ts_code,symbol,name,trade_date,open,close,high,low,volume,amount,pct_chg,adjust_type,pb,ps_ttm,total_mv,ret_1d,ret_5d,ret_10d,volatility_20,ma_ratio_5_20,vol_ratio_5_20,rsi_14,high_low_range,Next_Ret,Label,log_mv
600031.SH,600031,三一重工,2024-07-30,14.73,14.76,14.79,14.61,238062.0,370173936.0,0.0,qfq,1.91379411,1.79145057,132294407157.57,0.0,-0.025742574257425765,-0.042180402336145395,0.018175391421040587,0.990084563090698,0.79548430743064,51.62454873646208,0.012195121951219494,0.03658536585365857,1,25.608295633232483
600031.SH,600031,三一重工,2024-07-31,14.76,15.3,15.34,14.68,397383.0,635078980.0,3.66,qfq,1.97999839,1.85342259,136870895297.55,0.03658536585365857,0.011235955056179803,0.00591715976331364,0.019897400742790707,0.9905329361138695,0.8383274456403461,46.61354581673307,0.04313725490196079,-0.024183006535947738,0,25.642303948373808
600031.SH,600031,三一重工,2024-08-01,15.24,14.93,15.25,14.92,352759.0,560558838.0,-2.42,qfq,1.9346362,1.81096028,133735153423.86,-0.024183006535947738,0.005387205387205496,-0.03615235635894132,0.020743603284433556,0.9910672930589557,0.8470469612641578,40.909090909090935,0.02210314802411253,-0.008707300736771506,0,25.61912721412287
600031.SH,600031,三一重工,2024-08-02,14.85,14.8,15.02,14.76,215986.0,338815437.0,-0.87,qfq,1.91869813,1.79604109,132633406279.05,-0.008707300736771506,-0.022457067371202122,-0.048231511254019255,0.020617199283004456,0.9871230428018142,0.8060047456929879,39.26174496644299,0.01756756756756755,-0.015540540540540548,0,25.610854815691305
600031.SH,600031,三一重工,2024-08-05,14.77,14.57,14.95,14.46,320190.0,496699216.0,-1.55,qfq,1.89050001,1.76964559,130684161330.54,-0.015540540540540548,-0.01287262872628725,-0.05512321660181585,0.020541818389214546,0.9850637522768669,0.8090843252185881,36.7924528301887,0.03363074811255995,0.0027453671928618917,1,25.596049266840325
600031.SH,600031,三一重工,2024-08-06,14.65,14.61,14.8,14.35,299268.0,461136147.0,0.27,qfq,1.89540403,1.77423611,131023160452.02,0.0027453671928618917,-0.010162601626016232,-0.035643564356435675,0.020135191189978138,0.98255602264076,0.8981176096413686,40.0662251655629,0.030800821355236215,-0.010951403148528382,0,25.59863994186442
600031.SH,600031,三一重工,2024-08-07,14.6,14.45,14.84,14.42,264439.0,408022916.0,-1.1,qfq,1.87578795,1.75587403,129667163966.1,-0.010951403148528382,-0.05555555555555569,-0.04494382022471921,0.01999439377972501,0.9720096723972307,0.8458269362703319,32.068965517241395,0.029065743944636676,-0.0006920415224913601,0,25.58823672710353
600031.SH,600031,三一重工,2024-08-08,14.4,14.44,14.54,14.28,202818.0,309321821.0,-0.07,qfq,1.87456194,1.7547264,129582414185.73,-0.0006920415224913601,-0.03281982585398524,-0.02760942760942764,0.015230014122421951,0.968822708236389,0.8156490288778168,30.526315789473685,0.01800554016620497,0.008310249307479367,1,25.587582918646113
600031.SH,600031,三一重工,2024-08-09,14.51,14.56,14.97,14.48,423858.0,662944648.0,0.83,qfq,1.88927401,1.76849796,130599411550.17,0.008310249307479367,-0.016216216216216273,-0.03830911492734479,0.015447427986764859,0.9684968496849684,0.9324549153909816,34.8591549295775,0.033653846153846166,-0.004807692307692291,0,25.595400548037166
600031.SH,600031,三一重工,2024-08-12,14.55,14.49,14.63,14.37,161736.0,248303085.0,-0.48,qfq,1.88069197,1.76046455,130006163087.58,-0.004807692307692291,-0.005490734385724116,-0.018292682926829285,0.015444225989310579,0.9705036452411211,0.8541686013272561,37.50000000000002,0.01794340924775718,-0.00552104899930983,0,25.590847694644253
